Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
4989687,Who,Geoff Smart,"Smart, Geoff",Randy Street,"=""0345504194""","=""9780345504197""",0,3.92,Ballantine Books,Hardcover,208,2008,,,2016/04/24,hold,hold (#11),hold,,,,,,,0,,,,,
34985,The Deming Management Method,Mary Walton,"Walton, Mary",,"=""1852521414""","=""9781852521417""",0,3.89,Management Books 2000,Paperback,254,1992,1986,,2016/04/24,abandoned,abandoned (#7),abandoned,,,,,,,0,,,,,
846249,The Fifth Discipline Fieldbook: Strategies and Tools for Building a Learning Organization,Peter M. Senge,"Senge, Peter M.","Art Kleiner, Charlotte Roberts","=""0385472560""","=""9780385472562""",0,4.09,Crown Business,Paperback,608,1994,86,,2016/04/24,to-read,to-read (#13),to-read,,,,,,,0,,,,,
6667514,The Checklist Manifesto: How to Get Things Right,Atul Gawande,"Gawande, Atul",,"=""0805091742""","=""9780805091748""",4,4.02,Metropolitan Books,Hardcover,208,2009,2009,2016/04/24,2016/04/23,,,read,"Listened to this as an audiobook and really enjoyed it. The stories from surgery, engineering, and aeronautics were very interesting. The story goes quick and the overall conclusion that we need to take a systems approach to promote the team work needed to succeed against growing complexities in all industries was very well stated.",,,,,,0,,,,,
6184317,Dead Aid: Why Aid Is Not Working and How There Is a Better Way for Africa,Dambisa Moyo,"Moyo, Dambisa",Niall Ferguson,"=""0374139563""","=""9780374139568""",4,3.64,"Farrar, Straus and Giroux",Hardcover,188,2009,2009,2016/06/02,2016/04/23,,,read,"This was fascinating, really helpful for teaching your brain to zoom out and see the big picture. <br/><br/>The story that stuck with me was one she tells about a man who is making malaria nets. Suppose that he is running a small business with 5 employees and each person there has 15 dependents that they are providing for. This means that the net business is the livelihood of 90 people. Meanwhile in the USA it gets big in the news that people in Africa are dying from Malaria so some US celebrity decides to donate money for the construction of 100,000 malaria nets and send them to Africa. These nets are given for free, they flood the market and the small net business is now bankrupt. The 90 people are in a worse state than before. Additionally when the 100k nets inevitably wear out (average net life is 5 years) there will be no business that can replace them. The village is more dependent than ever on aid and if no celebrity comes forward with more nets in 5 years they will be sicker as well.<br/><br/>This is one of the problems with Aid. People give without seeing the whole picture and all too often Africans are represented by white western celebrities. A better way forward would have been for someone to offer to buy the nets from the African business making them and distribute them within the country for free, support and develop the local economy instead of snuffing it out.<br/><br/>Sometimes my eyes glazed over a bit at the paragraphs of dollar values (and this from someone who studied math and physics) but it was necessary. If you start the book and find those sections tiresome just keep going, I promise it is worth it.",,,,,,0,,,,,
13552345,"Sowing Seeds in the Desert: Natural Farming, Global Restoration, and Ultimate Food Security",Masanobu Fukuoka,"Fukuoka, Masanobu",,"=""1603584188""","=""9781603584180""",4,4.26,Chelsea Green Publishing,Hardcover,208,2012,2012,2016/05/01,2016/04/23,,,read,,,,,,,0,,,,,
566574,Out of the Crisis,W. Edwards Deming,"Deming, W. Edwards",,"=""0262541157""","=""9780262541152""",0,4.05,Mit Press,Paperback,523,2000,1982,,2016/04/23,abandoned,abandoned (#6),abandoned,,,,,,,0,,,,,
649361,Farewell to Manzanar: A True Story of Japanese American Experience During and After the World War II Internment,Jeanne Wakatsuki Houston,"Houston, Jeanne Wakatsuki",James D. Houston,"=""0553272586""","=""9780553272581""",4,3.52,Dell,Mass Market Paperback,203,1995,1972,2016/04/23,2016/04/23,race-education,race-education (#6),read,,,,,,,0,,,,,
9418327,Bossypants,Tina Fey,"Fey, Tina",,"=""""","=""""",5,3.94,Reagan Arthur Books,Kindle Edition,283,2011,2011,2016/04/06,2016/04/05,,,read,"Definitely listen to the audio book version. Thoughtful, irreverent, and hilarious.",,,,,,0,,,,,
25489083,"The Myth of the Spoiled Child: Coddled Kids, Helicopter Parents, and Other Phony Crises",Alfie Kohn,"Kohn, Alfie",,"=""0807073881""","=""9780807073889""",4,3.84,Beacon Press,Paperback,280,2016,2014,2016/03/20,2016/03/28,race-education,race-education (#4),read,,,,,,,0,,,,,
553267,"All the Best, Neill: Letters from Summerhill",A.S. Neill,"Neill, A.S.",Jonathan Croall,"=""0531098222""","=""9780531098226""",0,4.62,Franklin Watts,Hardcover,264,1984,1983,,2016/03/28,abandoned,abandoned (#9),abandoned,,,,,,,0,,,,,
268530,The Day America Told the Truth,James    Patterson,"Patterson, James",Peter Kim,"=""0452268087""","=""9780452268081""",0,3.56,Plume,Paperback,288,1992,1991,,2016/03/21,to-read,to-read (#12),to-read,,,,,,,0,,,,,
2855034,Nation,Terry Pratchett,"Pratchett, Terry",,"=""0061433012""","=""9780061433016""",4,4.05,HarperCollins,Roughcut,367,2008,2008,2016/09/05,2016/03/21,,,read,"Loved this book. The story in delightful and there are pieces of profound wisdom woven throughout.<br/><br/>""If you don't dare to think you might you won't.""<br/><br/>""Even out fears make us feel important because we fear that we are not.""",,,,,,0,,,,,
28251230,Let My People Go Surfing: The Education of a Reluctant Businessman--Including 10 More Years of Business Unusual,Yvon Chouinard,"Chouinard, Yvon",Naomi Klein,"=""0143109677""","=""9780143109679""",0,4.14,Penguin Books,Paperback,272,2016,2005,,2016/03/21,to-read,to-read (#11),to-read,,,,,,,0,,,,,
29065532,I Forgot Something (But I Can't Remember What It Was),Nelson C Dellis,"Dellis, Nelson C",,"=""1631775677""","=""9781631775673""",0,4.33,Mascot Books,Hardcover,,2016,,,2016/03/20,"to-read, lhl","to-read (#10), lhl (#1)",to-read,,,,,,,0,,,,,
29465611,A Reluctant Prosecutor: My Journey,Creighton C Horton II,"II, Creighton C Horton",,"=""1943190038""","=""9781943190034""",0,4.00,Wild Ginger Press,Paperback,356,2016,,,2016/03/20,"to-read, lhl","to-read (#9), lhl (#2)",to-read,,,,,,,0,,,,,
